name|university
Arpita Ghosh|Kyung Hee University
Peter Fankhauser|Duke University
Jan Herling|Southern Methodist University
Björn W. Schuller|Simon Fraser University
Jayanta Mukhopadhyay|Peking University
Pietro Ursino|University of Zurich
Tadanori Mizuno|University of Adelaide
Solmaz Kolahi|University of Texas Health Science Center at San Antonio
Benjamin Bustos|University of Bologna
Georges G. Grinstein|University of Notre Dame
Yu Jiao|Pontifical Catholic University of Chile
Amer Diwan|Georgia Regents University
Gustavo Rostirolla|Seoul National University
Xiaodong Niu|University of Hong Kong
Giovanna Galli|Laval University
Martin Schmidt 0003|San Diego State University
Hasan Davulcu|University of Milan   Bicocca
Mohammad Reza Nosouhi|University of Southern California
Detlef F. Pape|Tokyo Institute of Technology
Vasilis Vassalos|University of Oulu
Gerson Zaverucha|University of Southampton
John Aycock|University of Geneva
Fernando Martínez-Martí|University of Genoa
Chady Abou Jaoude|University of Exeter
Khushboo Gulati|VU University Amsterdam
Franco Zambonelli|University of Chicago
Mohamad Jaafar Ali|Chulalongkorn University
Jonathan S. Greenfield|Delft University of Technology
York Sure|Colorado School of Mines
Frank Neven|Radboud University Nijmegen
Nicola Roberto Zema|Swiss Federal Institute of Technology in Lausanne
Alberto Abelló|University of Arkansas for Medical Sciences
Ronald T. Kneusel|University of Marburg
Robert A. Duff|University of Ulm
Despina Kopanaki|Ohio State University Columbus
Darijus Strasunskas|Lomonosov Moscow State University
Randi Karlsen|University of York
Ingrid Pappel|University of Ferrara
Wolfgang Hesse|Joseph Fourier University
Elke Focke|Vita Salute San Raffaele University
Peter Raith|Miami University
Maode Ma|University of Tsukuba
Patrick Isoardi|Florida State University
Mohammad Amin Farvardin|University of Waterloo
Holger Rauhut|University of Strasbourg
Christian Lins|Xi'an Jiaotong University
Antonis Ramfos|University of Regensburg
Nurali Virani|Monash University
Alain Tchana|Fudan University
Sida Chen|Wageningen University and Research Centre
Maria Beck|College of William and Mary
Colin R. Reeves|University of Florence
Sushil Jajodia|Shinshu University
Guillaume Spalla|Université libre de Bruxelles
Evandro Bacarin|University of Rostock
Maria Halkidi|Miami University
Giuseppe Pozzi|Versailles Saint Quentin en Yvelines University
Stéphane Ubéda|University of Liverpool
Wolfgang Emmerich|University of California Davis
Ramez Elmasri|University of Bordeaux II
Rami Marelly|Loyola University Chicago
Fabian Flöck|University of Toronto
Miao Zheng|San Diego State University
Tatiana Levashova|Georgia Institute of Technology
Francesco Buccafurri|University of Cape Town
Hani H. Saleh|Tongji University
Sihem Amer-Yahia|Thomas Jefferson University
Johannes Gehrke|University of Tsukuba
Anis Harfouche|University of Siena
Julita Vassileva|Louisiana State University   Baton Rouge
Lyes Dekar|Cardiff University
Laura García|University of South Florida   Tampa
Victor Lazzarini|National Autonomous University of Mexico
Juliane Dehnert|Free University of Berlin
Sascha Ossowski|Purdue University West Lafayette
Kris Vanhecke|University of California Los Angeles
Karen Aline Alves Bezerra|University of Konstanz
Noa Ragonis|University of Florida
Michel Baer|University of Science Malaysia
Frank Steinicke|Nanyang Technological University
David Tse Jung Huang|Pennsylvania State University University Park
Gianluca Lax|University College London
Peter E. Hart|University of Cincinnati
Sriram Lakshminarasimhan|University of Stuttgart
James Orwell|Gwangju Institute of Science and Technology
Gary Duzan|Florida State University
Mark J. Wierman|University of Malaya
Karan Mitra|Technical University of Munich
Gaudioso Junior Balba|Free University of Berlin
Mads Haahr|Wageningen University and Research Centre
John B. Anderson|Pontifical Catholic University of Chile
Daniela Fogli|Temple University
Yitian Shao|Technical University of Denmark
Denilson Barbosa|University of Nevada Reno
Nysret Musliu|Kanazawa University
Shengda Liu|Georgia Institute of Technology
Rym M'Hallah|Pompeu Fabra University
Manuel López-Ibáñez 0001|Duke University
Yong Xu 0001|University of Calgary
Frank van Harmelen|Dresden University of Technology
Paolo Caneva|University of Rostock
Séverine Maingaud|University of Notre Dame
Carlos García-Martínez|Chiba University
Luca Saiu|University of Buenos Aires
Fabien Azavant|Korea Advanced Institute of Science and Technology (KAIST)
René Quiniou|Syracuse University
Daniele Nardi|Karolinska Institute
Luca Di Gaspero|University of Turin
Guillaume Raschia|Johannes Gutenberg University of Mainz
Fuchun Peng|Hokkaido University
Gang Liu|Indiana University   Bloomington
Ronen Sosnik|Colorado State University   Fort Collins
Mikel Galar|Sun Yat sen University
Luciano Ost|Nanjing University
Antonio López Jaimes|University of Gothenburg
Shuai Mu 0001|University of Bordeaux I
Lutz Voelkel|Arizona State University
Michael ten Hompel|University of Calgary
Adam A. Porter|Johns Hopkins University
Habib Ammari|Massachusetts Institute of Technology
Samrat Mondal|University of Nebraska Medical Center
Miroslav Kubat|University of Illinois at Chicago
Kiyoshy Nakamura|University of Strathclyde
Johann Gamper|University of Houston
Kouemo Ngayo Anatoli Dimitrov|University of Maryland College Park
Srinivas Vadrevu|University of York
Soufiene Djahel|University of Arkansas for Medical Sciences
Levent Gürgen|University of Bergen
Sebastien Linck|University of Pittsburgh   Pittsburgh Campus
Yanlong Yin|Wesleyan University
Zoran Despotovic|Monash University
Miguel Bernal 0001|Monash University
Alessandro Armando|University of Strathclyde
Andrea Castellano|University of Denver
Nikolaj Hansen|University of Paris Sud
Mónica Pinto|University of Chile
Jon Atle Gulla|Paul Sabatier University   Toulouse III
Maciej Lesniak|University of Science and Technology of China
Mihaela van der Schaar|Columbia University
Dengfeng Gao|Katholieke Universiteit Leuven
Reinhard Möller 0001|University of Genoa
Ashok Kumar Mittal|National Tsing Hua University
Thomas Thierauf|Pohang University of Science and Technology
Baker Mohammad|University of Massachusetts Amherst
Andreas Loew|Charles University in Prague
Jean-Yves Maisonneuve|University of Nebraska–Lincoln
Romain Pellerin|Wageningen University and Research Centre
Ulrich Schiel|University of Texas Medical Branch at Galveston
Weidong Chen 0004|Seoul National University
Tsau Young Lin|University of Vienna
Donald L. Dietmeyer|Tokyo Medical and Dental University
Marco Casagrande|North Carolina State University
Éric D. Taillard|University of Oulu
Leif Azzopardi|Saint Petersburg State University
Vivien Quéma|University of Oregon
Nicola Orio|University of Delhi
Constantine Stephanidis|National Tsing Hua University
Thomas Matzner|Swedish University of Agricultural Sciences
Minakhi Rout|University of New Hampshire
Christine Lafontaine|University of Oklahoma   Norman Campus
Pablo Moscato|University of Porto
Giacomo Quadrio|Tsinghua University
Nina Slamnik-Krijestorac|University of Bonn
Klaus Echtle|Dalian University of Technology
Ashraf Wadaa|National Autonomous University of Mexico
Christian Hartmann 0001|University of Iowa
Erwan Becquet|Indian Institute of Technology Delhi
Hakima Khelifi|Joseph Fourier University
Sandro Franceschini|University of Bath
Donald D. Chamberlin|Texas Tech University (TTU)
Yinyan Zhang|University of São Paulo
Michel Avezard|Newcastle University
Margherita Pasini|Florida State University
Bert O. de Brock|Stockholm University
Yasushi Miyata|University of Dundee
Waqar Hasan|Indiana University Purdue University Indianapolis
Jing Jiang|Aix Marseille University
Josef Pauli|National Cheng Kung University
Xuehua Shen|University of Washington   Seattle
Habiba Drias|Lancaster University
David R. C. Hill|National and Kapodistrian University of Athens
Davide Aguiari|Innsbruck Medical University
Paolo Giorgini|University of Leicester
Lionel Brunie|Eindhoven University of Technology
Olav Lysne|Medical University of Vienna
Clément Saad|University of Science and Technology of China
Ning Liu|University of Mississippi   Oxford Campus
Avron Cohen|University of Milan   Bicocca
John G. Breslin|École Polytechnique
Fabian Wiedemann|University of Paris Sud
Ingmar Pappel|National Chiao Tung University
Lucia Rossazza|École normale supérieure de Lyon
Patrick Félix|University of Science Malaysia
Ba Linh Nguyen|University of Modena and Reggio Emilia
Yusuke Nojima|Duke University
Michael F. Goodchild|University of Science Malaysia
Han Liu 0002|Erasmus University Rotterdam
Felice Andrea Pellegrino|Catholic University of the Sacred Heart
Thomas Roelleke|University of Canterbury
Renaud Lachaize|Technion – Israel Institute of Technology
Jörg Ritter 0001|University of Modena and Reggio Emilia
Stefan Voß|Nanjing University
Amr El Abbadi|Concordia University
Ivan Herman|Sungkyunkwan University
Yvan Stroppa|University College Dublin
Li Ding|University of Bergen
Paul Lindgreen|Chonnam National University
Seokkyung Chung|Central South University
Edie Rasmussen|University of Sussex
Nikos Hardavellas|University of Science Malaysia
Steffen Kern|University of Navarra
Clare Stanier|Tongji University
Carlyna Bondiombouy|University of Valencia
Stephan Volmer|University of Texas Medical Branch at Galveston
Mihaela Butaru|Jagiellonian University
Nicoletta Dessì|City College of New York
Luis Javier García-Villalba|Paris Diderot University   Paris 7
Keith Collins|University of Edinburgh
Ioannis Korkontzelos|Shandong University
Takahiro Kawamura|Ohio University
Giancarlo Guizzardi|University of Buenos Aires
Samira Chouikhi|Aristotle University of Thessaloniki
Stefania Montani|University of Texas MD Anderson Cancer Center
Rainer Unland|Chonbuk National University
Jaime Spacco|Tsinghua University
Nuno M. Garcia|University of Malaya
Kumar Yelamarthi|University of Southampton
Khalil Drira|Dartmouth College
Xiaojiang Zuo|Lund University
Davide Bacciu|University of Geneva
Wieland Schwinger|Simon Fraser University
Ronny Hartanto|VU University Amsterdam
Simon Litlehamar|University of Iowa
Simon Samwel Msanjila|Icahn School of Medicine at Mount Sinai
Jaak Tepandi|University of Antwerp
Bruce Randall Donald|Syracuse University
Michel Ianotto|University of South Florida   Tampa
Steinar Carlsen|Brown University
Hiroshi Ishikawa 0004|Nankai University
Lihua Yue|University of São Paulo
Konstantin Beznosov|University of Edinburgh
Abderrahmane Sbihi|University of Geneva
Renato Cerqueira|University of Liverpool
Yasmine Charif|Simon Fraser University
J. Ben Rosen|Western University (The University of Western Ontario)
Laurent Michel|University of Genoa
Andreas Zabel|Uppsala University
Rebekka Kupffer|Western University (The University of Western Ontario)
Patrick Gros|Polytechnic University of Valencia
Hala Skaf-Molli|Brown University
Rita Francese|Ruhr University Bochum
Tran Van Hoai|University of Granada
Thomas Kister|Queen's University Belfast
Joanna Musialik|University of Miami
Amit L. Padalkar|Drexel University
Eva Bafaro|Nankai University
Shan-Hwei Nienhuys-Cheng|University of the Witwatersrand
Angelika M. Kotz|University of Ulm
Luis E. Anido-Rifón|Kobe University
Balakumar Balachandran|George Mason University
Paolo Bellavista|University of Ulm
Alessandro Baldo 0002|Ruhr University Bochum
Ana Lucila Sandoval Orozco|Louisiana State University   Baton Rouge
Arunesh Goyal|Duke University
Alaa Alhamzeh|Colorado School of Mines
Florian Wohner|Charles University in Prague
Vijay Gandhi|University of California Los Angeles
Dror G. Feitelson|University of Hong Kong
Joachim Hoffmann|University of Arkansas for Medical Sciences
Eric Renault|Florida State University
Ying Li|University of Michigan Ann Arbor
Giorgia Buscato|University of Marburg
Kim Boström|University of Oslo
Alan Dorin|University of Delhi
Oussama Tlili|University of Strasbourg
Yuzhi Liang|University of Canterbury
Jing Peng|Zhejiang University
Nader Mbarek|Charles University in Prague
Lissan Afilal|Kyung Hee University
Kostas Vergidis|National University of Singapore
Stefanie Rinderle|University of Bath
Sheila A. Greibach|University of Science and Technology of China
Chiara Ceccarini|Huazhong University of Science and Technology
Ralf Schenkel|University of Guelph
Jinpeng Yu|Washington University in St. Louis
Antoine Rollet|University College London
Nacim Ramdani|University of Dundee
Yu Hua 0001|University of Surrey
Sudipto Das|Technical University of Munich
Valentina I. Klimenok|San Diego State University
Peter F. Sweeney|Aristotle University of Thessaloniki
Petr Machácek|University of Nottingham
Gabriele Blankenagel|University of Georgia
Kapil Sharma|University of Eastern Finland
Manuel Fritz|University of Oslo
Damires Souza|Chalmers University of Technology
Patrick Etcheverry|University of Science Malaysia
Pawel Mazurek|Medical University of South Carolina
Eckhard D. Falkenberg|Cornell University
Janet Mann|Cornell University
Betty H. C. Cheng|Stony Brook University
Stanislav Sobolevsky|Princeton University
Paul W. P. J. Grefen|University of Perugia
Hans Hansen|University of Nottingham
Marius Kaminskas|Ben Gurion University of the Negev
Timothy Roscoe|Paul Sabatier University   Toulouse III
Philipp Becker|Vita Salute San Raffaele University
Ji Zhang|University of Warwick
Monica Scannapieco|Université libre de Bruxelles
Hien To|University of Nebraska–Lincoln
Léo Kazmierczak|Hong Kong University of Science and Technology
Priti Srinivas Sajja|Royal Institute of Technology
Kaan Ozbay|Hiroshima University
Van-Dat Cung|University of Milan   Bicocca
Han Pan|Yokohama City University
Darrell Brunsch|Emory University
Guilherme Augusto Zagatti|Shandong University
Christoph Schäfer|Johannes Gutenberg University of Mainz
Benedetta Giunchiglia|Duke University
Kenneth David Strang|Trinity College Dublin
Madhurima Pore|Xi'an Jiaotong University
Weiran Yao|Harvard University
Jean-Luc Starck|University of California Santa Cruz
Yun Rock Qu|University of Montreal
Jari P. Kaipio|Johannes Gutenberg University of Mainz
Soumya K. Ghosh 0001|University of Modena and Reggio Emilia
Harith Alani|University of Padua
Petar Jovanovic 0001|Technical University of Denmark
Sanat Kumar Bista|Laval University
Omar Kettani|Technical University of Madrid
Steffen Herbold|University of Parma
Andréanne K. Blanchette|University of Tampere
Tomasz Piontek|University of Perugia
Marco Zanella|Oklahoma State University–Stillwater
Riccardo Martoglia|Tokyo Medical and Dental University
Xenofon D. Koutsoukos|University of Chile
Frédéric Guinand|Brandeis University
Bernhard Möller|Sogang University
Laurent Lefèvre|University of Texas Health Science Center at Houston
Klemens Hemm|University of Washington   Seattle
Valerio Panzica La Manna|University of Buenos Aires
Paul Branquart|Utrecht University
Werner Vogels|Vrije Universiteit Brussel
Ulisses M. Braga-Neto|Rice University
Martín Gómez Ravetti|École normale supérieure de Lyon
Tung X. Bui|University of Naples Federico II
Mohamed Amin Sakka|University of Adelaide
Mark L. Braunstein|University of Texas Health Science Center at Houston
Roberto Tedesco|Linköping University
Jan L. A. van de Snepscheut|Nagoya University
Rita Tse|University of Trieste
Elif Sürer|Hokkaido University
Manuel Mucientes|Macquarie University
Fouad Amine Guenane|Paris Descartes University
Charles Gouin-Vallerand|University of Science and Technology of China
Jason O. Burkholder|Waseda University
Nancy Ide|University of New Mexico
Anand Singh Jalal|University of Waterloo
Karim Alami|University of Mississippi   Oxford Campus
Benjamin Aziz|Leipzig University
Danniar Reza Firdausy|University of Akron
Michael Vax|University of Kiel
Weifeng Liu 0001|Charles University in Prague
Arik Friedman|University of Buenos Aires
Chongli Yuan|University of Aberdeen
Ginmo Chung|Catholic University of the Sacred Heart
Rik Eshuis|Baylor College of Medicine
Mihaela Ulieru|Vienna University of Technology
Srisatja Vitayasak|Otto von Guericke University Magdeburg
Chong-Wah Ngo|McMaster University
Tahar Bouhadada|Florida State University
Xiao Li|Johannes Gutenberg University of Mainz
Zoran Ognjanovic|University of Campinas
Ruhaila Maskat|University of Münster
Giovanni A. Modica|University of Parma
Klaus A. Hörmann|Paris Descartes University
Heinrich Müller|Darmstadt University of Technology
Rafael Martí|University of Reading
Gustav Toppenberg|Nankai University
Lars Frank|California Institute of Technology
Pietro S. Oliveto|Wesleyan University
Peter A. Boncz|University of Rome Tor Vergata
Mark Levene|Cranfield University
Jorge Gracia|Chalmers University of Technology
Bernadette Bouchon-Meunier|University College Cork
Kjeld Schmidt|University of Groningen
Philip Cannata|Brown University
Mourad Hakem|Vanderbilt University
Patrício de Alencar Silva|University of New Mexico
Jaideep Vaidya|Boston University
Jean Henrard|University of Cologne
Michael Lutz 0001|Pohang University of Science and Technology
Jeroen Cloo|University of Rochester
James Tin-Yau Kwok|University of Paris Sud
Ralf Schmitz|University College Dublin
Frank Eliassen|University of Tampere
Wei Xing Zheng 0001|University of Houston
Ibrahim Khalil|University of Nebraska Medical Center
Jun Yang 0001|Aix Marseille University
Walter Liebhart|Thomas Jefferson University
Donald J. Norris|Yokohama City University
Herbert Göttler|Stockholm University
Enric Trillas|Drexel University
Teck Kiang Tan|University of Rome Tor Vergata
Yukio Yamamoto|Michigan State University
Mario A. Cypko|Paul Sabatier University   Toulouse III
Gabriel Pedroza|University of Copenhagen
Monique Guignard 0001|Chulalongkorn University
Martin Staudt 0001|University of Erlangen Nuremberg
Thierry Nodenot|Gyeongsang National University
Can Türker|Southern Methodist University
Valerie Leung|Goethe University Frankfurt
Nitin Upadhyay|University of Louisville
Francesca Brignoli|Ewha Womans University
Christodoulos A. Floudas|University of Rostock
Béatrice Bouchou|Technion – Israel Institute of Technology
Jorge Martins|Kyushu University
Damir Vukicevic|Paris Diderot University   Paris 7
João Pereira 0002|University of Warwick
Holger Theisel|National Cheng Kung University
Chrystopher L. Nehaniv|Technical University of Madrid
Dimitry Zekrouf|Shandong University
Avishkar Seth|University of Denver
Ramon Lawrence|London School of Economics
Gisele da Silva Craveiro|Technical University of Dortmund
Gerald Huck|Kyung Hee University
Charu C. Aggarwal|University of Strasbourg
Michael P. O'Mahony|Aalto University
Jan Chomicki|University of St Andrews
Sven Behnke|Ajou University
Domenico Cantone|University of Vermont
Mingyu Xiao|Dresden University of Technology
Rafael Luciano Radin|Otto von Guericke University Magdeburg
Enliang Xu|Technical University of Denmark
Eric Pacuit|University of Notre Dame
Yan Li 0002|Medical College of Wisconsin
Michael J. O'Donnell|Eötvös Loránd University
Xiaoping Ma|Technical University of Berlin
Fabio Dominio|University of Central Florida
Zhe Wang|Hong Kong University of Science and Technology
Naeem Ramzan|University of Paris Sud
Michael Weiner|University of Modena and Reggio Emilia
Rob Byrom|Cranfield University
R. M. R. Lewis|Georgetown University
Claude Jard|University at Albany SUNY
Vimal Kumar 0002|Jilin University
Giuseppe Cappiello|Chiba University
Sébastien Jean|University of Granada
Jan Modersitzki|University of Erlangen Nuremberg
Alexander N. Dudin|University of Chile
Andreas Neubauer|University of Arkansas for Medical Sciences
Dino Pedreschi|City College of New York
Liam Murphy 0001|University of Toronto
Dominique Hervé|University of Konstanz
Yaron Kanza|Brown University
Nalini Venkatasubramanian|University of Alabama   Tuscaloosa
Gerco Ballintijn|University of Edinburgh
Rainer Götze 0001|Kyungpook National University
Nadia Metoui|Wageningen University and Research Centre
Christian Bierwirth|Washington State University Pullman
Bruno Filipe Santos|Sogang University
Anis Tissaoui|Linköping University
Nikos Pelekis|Joseph Fourier University
Guanghui Sun|University of Valencia
Shadi Shahoud|National Cheng Kung University
Fotis Kopsaftopoulos|Darmstadt University of Technology
Lynda Mokdad|University of Seville
Bernhard Westfechtel|Okayama University
Sophie Ramel|University of Reading
Sandro Giessl|Radboud University Nijmegen
Nicolò Zagni|University of Dundee
Maria Beatriz Felgar de Toledo|University of Cincinnati
Marie-Christine Fauvet|University of Oregon
Guy Caplat|Grenoble Institute of Technology
Krystina S. Madej|Eindhoven University of Technology
Eric Gressier-Soudan|North Carolina State University
Bela Balint|Niigata University
Tomasz Orczyk|Yokohama National University
Nivedita Ray De Sarkar|University of Amsterdam
Alexander A. Verrijn-Stuart|Paul Sabatier University   Toulouse III
Pierluigi Freni|University of Pavia
Alejandra Guadalupe Silva Trujillo|Yeshiva University
Junjie Wang 0001|Hiroshima University
John Hiller|Oregon Health & Science University
Ronald de Wolf|University of Texas MD Anderson Cancer Center
Wilfrid Schroeder|University of Bergen
Michael Hellenschmidt|University of Massachusetts Medical School
Zujie Ren|University of Cape Town
Maria Gradinariu|Chonnam National University
Tim Taylor 0001|National Chiao Tung University
Andrea Abrardo|Stellenbosch University
Farid Yessoufou|University of Pittsburgh   Pittsburgh Campus
Sônia Fernandes Silva|University of Adelaide
Birgit Pröll|University of Calgary
Hong Yang|Queen Mary University of London
Jonathan Petit|Ludwig Maximilian University of Munich
Aoying Zhou|Kanazawa University
Josyula R. Rao|Southeast University
Carlo Dal Mutto|Sungkyunkwan University
Babek Guirimov|Washington University in St. Louis
Paulo Oswaldo Boaventura Netto|University of Geneva
Siegfried Herda|University of Calgary
Jean-Pierre Evain|University of Texas Health Science Center at Houston
Steven Schmidt 0001|University of Liège
James H. Davenport|University of Chile
Ahmed Bouchou|Nagasaki University
See-Kiong Ng|Northwestern University
Jie Gao|University of Rome Tor Vergata
Andreas Kirsch 0001|University of Nebraska Medical Center
Yu-An Sun|Iowa State University
Thi Ai Thao Nguyen|Lehigh University
Nicola Guarino|University of Cincinnati
Dana Popovici|University of Hanover
Luís A. Castro 0001|University of York
Edward P. K. Tsang|Julius Maximilian's University of Würzburg
Leïla Azouz Saïdane|Paris Descartes University
Radu-Daniel Vatavu|Case Western Reserve University
Suzanne Liebowitz Taylor|Polytechnic University of Valencia
Vanessa Evers|Sungkyunkwan University
Sylvie Cazalens|Macquarie University
Khanh N. Dang|College of William and Mary
Brian A. Coghlan|Leiden University
Madhavan Ganesh|Hiroshima University
Mohssen Abboud|Humboldt University of Berlin
Wei Liu|University of Massachusetts Amherst
Thomas Hassan|Virginia Polytechnic Institute and State University
José Luiz Fiadeiro|University of Stuttgart
Cecilia Mascolo|University of Mississippi   Oxford Campus
Ansgar Scherp|Julius Maximilian's University of Würzburg
Ioannis Kompatsiaris|University of Cologne
Gang Tao|Vienna University of Technology
Lin Liu 0001|University of Texas at Austin
Joseph S. P. Fong|University of Groningen
Jane Grimson|University of Genoa
Pascal Leroy|Sun Yat sen University
Zoubida Kedad|Xiamen University
Bernhard Pfeifer|Polytechnic University of Milan
Edward L. Wimmers|University of Liverpool
Jesús Arturo Orozco|University of Alabama   Tuscaloosa
Genoveva Vargas-Solar|Tianjin University
John A. Vince|University of Milan   Bicocca
Vladimir Antonik|Wake Forest University
Manuel E. Acacio|Lund University
Christian Emig|University College Dublin
Abderrahim Sekkaki|Cornell University
Lingxi Peng|University of Glasgow
Magda Komorníková|University of Groningen
Catherine Berrut|University of Queensland
Dália José Gomes De Sousa|South China University of Technology
Mohamed Tayeb Laskri|Technical University of Madrid
Zolzaya Dashdorj|Kyushu University
Daniela Grigori|Pontifical Catholic University of Chile
Florian Schaub|National Tsing Hua University
Hongnian Yu|Yonsei University
Frédéric Geurts|City University London
Xiaoyang Zhou|Southeast University
Alessio Bechini|University of Rochester
Jean-Christophe Filliâtre|University of Oxford
Katja Hose|New Mexico State University
Benjamin Belletoile|Saint Petersburg State University
Emmanuel Bertin|Monash University
Teruo Higashino|University of Tokushima
Wei Jin|Brown University
Miron Livny|University of Hull
Maurizio Aiello|Paris Diderot University   Paris 7
Maristella Matera|Florida State University
Eliseo Clementini|University of Rostock
Stephanie Chow|University of Canterbury
Evren Sirin|University of Bologna
A. J. M. M. Weijters|Trinity College Dublin
Bruno Bouchard 0001|Eindhoven University of Technology
Markus Pischel|University of Konstanz
Vivek R. Narasayya|Gyeongsang National University
Manuela Montangero|Technical University of Berlin
Dominic DiFranzo|University of Sussex
William Rucklidge|St George's University of London
Ulrike Gretzel|Icahn School of Medicine at Mount Sinai
Joshua D. Potter|Hong Kong Polytechnic University
Maria Giulia Grillo Pasquarelli|Swiss Federal Institute of Technology in Zurich
Imen Bouraoui|Kansas State University
Werner Kuhn|University of Connecticut
John L. Bruno|Stony Brook University
Bernard Coulette|University of Pennsylvania
An Lei|George Mason University
Maciej Macura|Wake Forest University
Yi Jin|Sogang University
Gunter Saake|Albert Ludwig University of Freiburg
Laura M. van der Lubbe|Indiana University Purdue University Indianapolis
Ennio Gambi|Lund University
Naoko Tosa|University of Perugia
Rastko R. Selmic|Medical University of Vienna
Edwin Lughofer|Linköping University
Bendick Mahleko|University of Duisburg Essen
Susanna Tella|Brandeis University
Maria Sokhn|University of Bordeaux I
Verena Geist|Hannover Medical School
Wojciech Piatek|University of Nevada Reno
Seham Moawed|University of California Davis
Taylor Gotfrid|Brown University
Paul P. B. Eggermont|Gwangju Institute of Science and Technology
Didier Perroud|University of Genoa
Jean-Paul Delescaille|Baylor College of Medicine
C. Balarengadurai|University of California San Diego
Daniel Cremers|University of Modena and Reggio Emilia
Huidi Zhang|Paul Sabatier University   Toulouse III
Binoy Ravindran|University of Exeter
Hiren Kumar Deva Sarma|University of Hanover
Piotr Habela|York University
Huaimin Wang|Laval University
Julian Nida-Rümelin|University of Exeter
Vincent Villain|Ewha Womans University
Salvador García 0001|University of Hamburg
Peter Mika|Chonbuk National University
Yehuda Koren|Drexel University
Jürgen Adamy|National and Kapodistrian University of Athens
Jürgen Gerhard|Université catholique de Louvain
M. Hyben|University of Arkansas for Medical Sciences
Oscar Romero 0001|Indian Institute of Technology Delhi
Jayden Khakurel|University of Science and Technology of China
Chang Liu 0001|University of Massachusetts Medical School
Melanie E. Moses|University of Leeds
Hagen Reuter|Central South University
Guy Shani|College of William and Mary
Haluk Damgacioglu|Vrije Universiteit Brussel
Dennis McLeod|University of Tsukuba
Alan Borning|Dalhousie University
Md. Mahbubur Rahim|University of Porto
Gábor Mihály Surányi|George Washington University
Slawomir Goryczka|University of California Berkeley
Abdeslem Djaoui|City University London
Mohamed Medhat Gaber|Justus Liebig University Giessen
Kuzman Katkalov|Swedish University of Agricultural Sciences
Rosa Gil|University of Texas Health Science Center at Houston
E. S. Gopi|University of Victoria
Friedel Hossfeld|University of Denver
Roman Klinger|University of Massachusetts Amherst
Terry D. Clark|Northwestern University
Eugen Volk|University of California Irvine
Hoang Ong|University of Cologne
Lei Zou 0001|University of Malaya
Dong Chun Lee|Illinois Institute of Technology
Ambuj K. Singh|Gyeongsang National University
Randall Kania|University of Texas at Dallas
Andrew W. Cooke|University at Albany SUNY
Fang Yu 0001|University of Erlangen Nuremberg
Samira Moussaoui|University of Zurich
Lynne Parker|George Washington University
Alexandre Plastino 0001|Kobe University
Mustafa Jarrar|Colorado State University   Fort Collins
Pinar Yolum|Humboldt University of Berlin
Alois Potton|Cornell University
Joachim Speidel|University of Nebraska Medical Center
Antonio José Fernández Leiva|University of Iowa
Bruno Mermet|Osaka University
Lidia Fuentes|Yokohama National University
Kai-Uwe Carstensen|University at Albany SUNY
Majid Rafiei|Gwangju Institute of Science and Technology
Mengyin Fu|Charles University in Prague
Ernesto Marcheggiani|Royal Institute of Technology
Adam Silberstein|Lomonosov Moscow State University
Marc Hesenius|Royal Institute of Technology
Rosie Jones|University of Siena
Ruth Breu|University of Massachusetts Medical School
R. Uday Kiran|Linköping University
Armin Zimmermann|California Institute of Technology
Rawya Rizk|University of Dundee
Fabrício Olivetti de França|Trinity College Dublin
Helmut Degen|Free University of Berlin
Sudharshan S. Vazhkudai|Dresden University of Technology
Yuxiong He|Kyung Hee University
Lars Dannecker|King Saud University
Richard Shapiro|University of Barcelona
Wei Cai 0001|University of Bonn
David Duvivier|University of Manitoba
Christian Schreckenberger|University of Ulsan
Kurt Sundermeyer|University of Warsaw
Dimitrios Gunopulos|University of Turku
Xuemin (Sherman) Shen|University of Bari Aldo Moro
Neus Sabater|University of Gothenburg
Umberto Pietroni|Hokkaido University
Ariel Oleksiak|Nagasaki University
Jordi Martori|University of New Mexico
Estelle Perrin|Saint Louis University
Marcel Behún|University of Southern California
Chang Li 0002|University of Cambridge
Christoph Beierle|Harvard University
Manfred Broy|University of Granada
David A. Boyuka II|University of Ottawa
Bertin Ramamonjisoa|Nanjing University
Alon Y. Halevy|Hebrew University of Jerusalem
Karim Baïna|Aarhus University
Jean-Philippe Martin-Flatin|University College Dublin
Dirk Biermann|City University of Hong Kong
Boris Shishkov|Duke University
Aleksej F. Filippov|University of York
James J. Buckley|Aix Marseille University
Laurent Clévy|Yokohama National University
Vasian Cepa|Lund University
Wolfgang Reisig|Chalmers University of Technology
Faiza Belala|University of Iowa
Yannis Marketakis|Polytechnic University of Milan
Aruna Ravichandran|University of British Columbia
Michael Netzer|University of Gothenburg
Oussama Bazzi|George Washington University
Richard Domps|Iowa State University
Alex Wun|Keio University
Minyar Sassi|Stanford University
Guillaume Schaeffer|Rice University
Martino Ruggiero|University of Colorado Boulder
Yahui Chang|University of Granada
Grace Lim|Swiss Federal Institute of Technology in Lausanne
Mihoko Otake|University of Amsterdam
Anna Martínez-Gavara|Durham University
Damien Coyle|University of Parma
Anqi Wang|University of Toronto
Natalie Jane de Vries|National and Kapodistrian University of Athens
Ernst Günter Schukat-Talamazzini|University of Milan
Jürgen Hülsemann|University of Southern Denmark
Hong Cheng 0001|University of Wisconsin–Madison
